id,名称,emoji,名称与emoji,类型,效果,价格,备注
v_overstock_1,纸箱,📦,纸箱 📦,优惠券,商店单卡区商品槽位 +1,10,
v_overstock_2,纸箱·二级,📦,纸箱·二级 📦,优惠券,商店单卡区商品槽位再 +1,10,需已拥有同系列一级券
v_clearance_1,标签,🏷️,标签 🏷️,优惠券,商店商品优惠 25%,10,
v_clearance_2,标签·二级,🏷️,标签·二级 🏷️,优惠券,商店商品再优惠 25%,10,需已拥有同系列一级券
v_hone_1,宝石,💎,宝石 💎,优惠券,宝藏出现配饰的概率提升,10,
v_hone_2,宝石·二级,💎,宝石·二级 💎,优惠券,宝藏出现配饰的概率进一步提升,10,需已拥有同系列一级券
v_reroll_1,骰子,🎲,骰子 🎲,优惠券,商店每次刷新的费用减少 $2,10,
v_reroll_2,骰子·二级,🎲,骰子·二级 🎲,优惠券,商店每次刷新的费用再减少 $2,10,需已拥有同系列一级券
v_telescope_1,望远镜,🔭,望远镜 🔭,优惠券,升级包中必定出现你最常拼写的长度的升级,10,
v_telescope_2,望远镜·二级,🔭,望远镜·二级 🔭,优惠券,你最常拼写的长度在升级时，分数与倍率提升为1.5倍,10,需已拥有同系列一级券
v_grabber_1,手套,🧤,手套 🧤,优惠券,+1 拼写次数,10,
v_grabber_2,手套·二级,🧤,手套·二级 🧤,优惠券,再 +1 拼写次数,10,需已拥有同系列一级券
v_wasteful_1,垃圾桶,🗑️,垃圾桶 🗑️,优惠券,+1 丢弃次数,10,
v_wasteful_2,垃圾桶·二级,🗑️,垃圾桶·二级 🗑️,优惠券,再 +1 丢弃次数,10,需已拥有同系列一级券
v_tarot_1,魔法棒,🪄,魔法棒 🪄,优惠券,法术出现的概率提升,10,
v_tarot_2,魔法棒·二级,🪄,魔法棒·二级 🪄,优惠券,法术出现的概率进一步提升,10,需已拥有同系列一级券
v_planet_1,土星,🪐,土星 🪐,优惠券,升级出现概率提高为2倍,10,
v_planet_2,土星·二级,🪐,土星·二级 🪐,优惠券,升级出现的概率进一步提升,10,需已拥有同系列一级券
v_seed_1,发芽,🌱,发芽 🌱,优惠券,结算利息上限提高至$10,10,
v_seed_2,发芽·二级,🌱,发芽·二级 🌱,优惠券,结算利息上限提高至$20,10,需已拥有同系列一级券
v_blank_1,空白格,⬜,空白格 ⬜,优惠券,似乎没有什么效果,10,
v_blank_2,空白格·二级,⬜,空白格·二级 ⬜,优惠券,宝藏栏位 +1,10,需已拥有同系列一级券
v_magic_1,打字机,🖨️,打字机 🖨️,优惠券,商店会刷新字母块以供选购,10,
v_magic_2,打字机·二级,🖨️,打字机·二级 🖨️,优惠券,商店刷新的字母块可能带有额外增益,10,需已拥有同系列一级券
v_glyph_1,卷轴,📜,卷轴 📜,优惠券,-1大关；-1拼词次数,10,
v_glyph_2,卷轴·二级,📜,卷轴·二级 📜,优惠券,-1大关；-1丢弃次数,10,需已拥有同系列一级券
v_paint_1,画笔,🖌️,画笔 🖌️,优惠券,计分时单词视为 +1 长度,10,
v_paint_2,画笔·二级,🖌️,画笔·二级 🖌️,优惠券,计分时单词视为 +2 长度,10,需已拥有同系列一级券
v_director_1,场记板,🎬,场记板 🎬,优惠券,可花 $10 重掷 Boss 效果 1 次,10,
v_director_2,场记板·二级,🎬,场记板·二级 🎬,优惠券,可无限次花 $10 重掷 Boss 效果,10,需已拥有同系列一级券
treasure_1,火花,✨,火花 ✨,宝藏,+4倍率,2,单卡区随机上架；带配饰时售价+0~+3
treasure_2,铅笔,✏️,铅笔 ✏️,宝藏,普通字母提供+2倍率,5,单卡区随机上架；带配饰时售价+0~+3
treasure_3,宝石,💎,宝石 💎,宝藏,稀有字母提供+4倍率,5,单卡区随机上架；带配饰时售价+0~+3
treasure_4,水晶球,🔮,水晶球 🔮,宝藏,史诗字母提供+8倍率,5,单卡区随机上架；带配饰时售价+0~+3
treasure_5,王冠,👑,王冠 👑,宝藏,传说字母提供+16倍率,5,单卡区随机上架；带配饰时售价+0~+3
treasure_6,链条,⛓️,链条 ⛓️,宝藏,如果单词中包含连续的相同字母，+10倍率,4,单卡区随机上架；带配饰时售价+0~+3
treasure_7,扩音器,📢,扩音器 📢,宝藏,如果单词中某个字母出现的次数为3次或以上，+20倍率,5,单卡区随机上架；带配饰时售价+0~+3
treasure_8,放大镜,🔍,放大镜 🔍,宝藏,如果单词中不包含重复的字母，+6倍率,3,单卡区随机上架；带配饰时售价+0~+3
treasure_9,拼图,🧩,拼图 🧩,宝藏,如果单词中包含至少3种稀有度，+16倍率,4,单卡区随机上架；带配饰时售价+0~+3
treasure_10,公文包,💼,公文包 💼,宝藏,如果单词中所有字母的稀有度相同，+12倍率,4,单卡区随机上架；带配饰时售价+0~+3
treasure_11,键盘,⌨️,键盘 ⌨️,宝藏,如果单词中包含连续的相同字母，+100分分数,4,单卡区随机上架；带配饰时售价+0~+3
treasure_12,碗,🥣,碗 🥣,宝藏,如果单词中某个字母出现的次数为3次或以上，+150分分数,5,单卡区随机上架；带配饰时售价+0~+3
treasure_13,雪花,❄️,雪花 ❄️,宝藏,如果单词中不包含重复的字母，+60分分数,3,单卡区随机上架；带配饰时售价+0~+3
treasure_14,调色盘,🎨,调色盘 🎨,宝藏,如果单词中包含至少3种稀有度，+150分分数,4,单卡区随机上架；带配饰时售价+0~+3
treasure_15,丝带,🎗️,丝带 🎗️,宝藏,如果单词中所有字母的稀有度相同，+120分分数,4,单卡区随机上架；带配饰时售价+0~+3
treasure_16,沙漏,⌛,沙漏 ⌛,宝藏,如果单词的长度为3或更短，+30倍率,5,单卡区随机上架；带配饰时售价+0~+3
treasure_17,椅子,🪑,椅子 🪑,宝藏,你每有一个空的宝藏槽位便获得x1倍率,8,单卡区随机上架；带配饰时售价+0~+3
treasure_18,手包,👝,手包 👝,宝藏,你每剩余一次丢弃次数，+40分分数,5,单卡区随机上架；带配饰时售价+0~+3
treasure_19,火,🔥,火 🔥,宝藏,当没有丢弃次数时，+20倍率,5,单卡区随机上架；带配饰时售价+0~+3
